date,time,datetime,timezone,message_id,html_file,has_text,photo_count,file_count,photos,files,text
2026-04-01,08:20:34,2026-04-01T08:20:34,UTC+09:00,message5,messages.html,False,1,0,photos/photo_2@01-04-2026_08-20-34.jpg,,
2026-04-01,08:20:34,2026-04-01T08:20:34,UTC+09:00,message6,messages.html,False,1,0,photos/photo_3@01-04-2026_08-20-34.jpg,,
2026-04-01,08:20:35,2026-04-01T08:20:35,UTC+09:00,message7,messages.html,False,1,0,photos/photo_4@01-04-2026_08-20-35.jpg,,
2026-04-01,08:20:35,2026-04-01T08:20:35,UTC+09:00,message8,messages.html,False,1,0,photos/photo_5@01-04-2026_08-20-35.jpg,,
2026-04-01,08:21:17,2026-04-01T08:21:17,UTC+09:00,message9,messages.html,True,0,0,,,"🔔3월 마지막 거래일,
미 증시 강한 반등 마감

- 이란 종전 기대로
유가/금리 안정이 주된 요인"
2026-04-01,08:22:27,2026-04-01T08:22:27,UTC+09:00,message10,messages.html,False,1,0,photos/photo_6@01-04-2026_08-22-27.jpg,,
2026-04-01,08:25:56,2026-04-01T08:25:56,UTC+09:00,message11,messages.html,False,1,0,photos/photo_7@01-04-2026_08-25-56.jpg,,
2026-04-01,08:26:59,2026-04-01T08:26:59,UTC+09:00,message12,messages.html,False,1,0,photos/photo_8@01-04-2026_08-26-59.jpg,,
2026-04-01,08:27:33,2026-04-01T08:27:33,UTC+09:00,message13,messages.html,False,1,0,photos/photo_9@01-04-2026_08-27-33.jpg,,
2026-04-01,08:27:45,2026-04-01T08:27:45,UTC+09:00,message14,messages.html,True,0,0,,,<👑빅테크/시총상위주 일제히 반등>
2026-04-01,08:31:27,2026-04-01T08:31:27,UTC+09:00,message15,messages.html,False,1,0,photos/photo_10@01-04-2026_08-31-27.jpg,,
2026-04-01,08:32:34,2026-04-01T08:32:34,UTC+09:00,message16,messages.html,True,0,0,,,"🎙이란 대통령
""필수조건만 들어주면
종전의지 있다"" 발언과
트럼프 종전임박 발언을
재료로 크게 반등한 하루였습니다"
2026-04-01,08:36:02,2026-04-01T08:36:02,UTC+09:00,message17,messages.html,False,1,0,photos/photo_11@01-04-2026_08-36-02.jpg,,
